iter	Passed	Remaining
772	143989	42284
773	144215	42109
774	144496	41950
775	144710	41771
776	144906	41588
777	145121	41409
778	145327	41229
779	145533	41047
780	145802	40884
781	145993	40698
782	146187	40514
783	146476	40355
784	146685	40175
785	146880	39990
786	147103	39813
787	147292	39626
788	147492	39443
789	147712	39265
790	147903	39079
791	148148	38907
792	148412	38740
793	148581	38548
794	148758	38359
795	148987	38182
796	149177	37996
797	149397	37817
798	149662	37649
799	149884	37471
800	150083	37286
801	150303	37107
802	150506	36923
803	150741	36747
804	150985	36574
805	151176	36387
806	151380	36203
807	151593	36022
808	151772	35832
809	151949	35642
810	152164	35461
811	152358	35275
812	152556	35089
813	152788	34912
814	153005	34731
815	153241	34554
816	153477	34377
817	153670	34190
818	153895	34010
819	154091	33824
820	154297	33641
821	154497	33455
822	154714	33273
823	154897	33084
824	155069	32893
825	155288	32712
826	155518	32532
827	155751	32354
828	155984	32175
829	156161	31984
830	156353	31797
831	156575	31616
832	156758	31426
833	156950	31239
834	157162	31056
835	157360	30869
836	157552	30682
837	157775	30500
838	157957	30311
839	158207	30134
840	158455	29957
841	158671	29774
842	158855	29585
843	159076	29402
844	159286	29218
845	159468	29028
846	159680	28844
847	159853	28652
848	160060	28467
849	160275	28283
850	160472	28096
851	160711	27916
852	160999	27745
853	161186	27556
854	161368	27366
855	161575	27180
856	161758	26991
857	161938	26800
858	162182	26621
859	162392	26435
860	162580	26247
861	162807	26064
862	162996	25875
863	163226	25692
864	163465	25511
865	163680	25327
866	163891	25141
867	164142	24961
868	164335	24773
869	164529	24584
870	164737	24398
871	164928	24209
872	165133	24022
873	165337	23835
874	165543	23649
875	165744	23461
876	165981	23279
877	166154	23087
878	166345	22898
879	166567	22713
880	166747	22523
881	166930	22333
882	167126	22144
883	167299	21953
884	167509	21766
885	167730	21581
886	167939	21394
887	168134	21206
888	168411	21027
889	168630	20841
890	168855	20656
891	169160	20481
892	169475	20306
893	169753	20127
894	170024	19947
895	170235	19759
896	170425	19569
897	170744	19394
898	170951	19205
899	171141	19015
900	171367	18829
901	171641	18648
902	171884	18463
903	172199	18286
904	172452	18102
905	172665	17914
906	172917	17730
907	173163	17545
908	173434	17362
909	173659	17175
910	173881	16987
911	174090	16798
912	174353	16614
913	174603	16428
914	174848	16242
